atom_number,symbol,mass_number
1,H,1
2,He,4
3,Li,7
4,Be,9
5,B,11
6,C,12
7,N,14
8,O,16
9,F,19
10,Ne,20
11,Na,23
12,Mg,24
13,Al,27
14,Si,28
15,P,31
16,S,32
17,Cl,35
18,Ar,40
19,K,39
20,Ca,40
21,Sc,45
22,Ti,48
23,V,51
24,Cr,52
25,Mn,55
26,Fe,56
27,Co,59
28,Ni,58
29,Cu,63
30,Zn,64
31,Ga,69
32,Ge,74
33,As,75
34,Se,80
35,Br,79
36,Kr,84
37,Rb,85
38,Sr,88
39,Y,89
40,Zr,90
41,Nb,93
42,Mo,98
43,Tc,98
44,Ru,102
45,Rh,103
46,Pd,106
47,Ag,107
48,Cd,114
49,In,115
50,Sn,120
51,Sb,121
52,Te,130
53,I,127
54,Xe,132
55,Cs,133
56,Ba,138
57,La,139
58,Ce,140
59,Pr,141
60,Nd,142
61,Pm,145
62,Sm,152
63,Eu,153
64,Gd,158
65,Tb,159
66,Dy,164
67,Ho,165
68,Er,166
69,Tm,169
70,Yb,174
71,Lu,175
72,Hf,180
73,Ta,181
74,W,184
75,Re,187
76,Os,192
77,Ir,193
78,Pt,195
79,Au,197
80,Hg,202
81,Tl,205
82,Pb,208
83,Bi,209
84,Po,208
85,At,210
86,Rn,210
87,Fr,212
88,Ra,226
89,Ac,225
90,Th,232
91,Pa,231
92,U,238
93,Np,236
94,Pu,238
95,Am,241
96,Cm,243
97,Bk,247
98,Cf,249
99,Es,252
100,Fm,253
101,Md,258
102,No,255
103,Lr,261
104,Rf,265
105,Db,268
106,Sg,269
107,Bh,270
108,Hs,269
109,Mt,276
110,Ds,280
111,Rg,281
112,Cn,283
113,Nh,285
114,Fl,287
115,Mc,288
116,Lv,291
117,Ts,293
